annotator,policy,n,tp,fp,fn,tn,precision,recall,f1
a1,strict_discussion_candidates,178,66,12,67,33,0.8461538461538461,0.49624060150375937,0.6255924170616114
a1,discussion_plus_context_review,178,123,38,10,7,0.7639751552795031,0.924812030075188,0.8367346938775511
a1,property_domain_review,178,160,1,12,5,0.9937888198757764,0.9302325581395349,0.960960960960961
a2,strict_discussion_candidates,178,63,15,71,29,0.8076923076923077,0.4701492537313433,0.5943396226415094
a2,discussion_plus_context_review,178,126,35,8,9,0.782608695652174,0.9402985074626866,0.8542372881355932
a2,property_domain_review,178,158,3,11,6,0.9813664596273292,0.9349112426035503,0.9575757575757575
